LOCATION,ENTRY,NAME,REPS
A,98,CLS21-0114;008,1
A,274,CLS21-0172;013,1
A,386,CLS21-0199;009,1
A,127,CLS21-0114;037,1
A,532,CLS21-0755;018,1
A,576,CLS21-0805;005,1
A,360,CLS21-0179;023,1
A,115,CLS21-0114;025,1
A,161,CLS21-0118;027,1
A,194,CLS21-0142;017,1
A,87,CLS21-0111;032,1
A,209,CLS21-0142;032,1
A,156,CLS21-0118;022,1
A,458,CLS21-0622;013,1
A,273,CLS21-0172;012,1
A,263,CLS21-0172;002,1
A,446,CLS21-0622;001,1
A,495,CLS21-0685;016,1
A,457,CLS21-0622;012,1
A,411,CLS21-0199;034,1
A,331,CLS21-0178;033,1
A,396,CLS21-0199;019,1
A,206,CLS21-0142;029,1
A,522,CLS21-0755;008,1
A,370,CLS21-0179;033,1
A,47,CLS21-0050;037,1
A,171,CLS21-0118;037,1
A,79,CLS21-0111;024,1
A,635,CLS21-0906;026,1
A,90,CLS21-0111;035,1
A,92,CLS21-0114;002,1
A,36,CLS21-0050;026,1
A,502,CLS21-0685;023,1
A,448,CLS21-0622;003,1
A,149,CLS21-0118;015,1
A,55,CLS21-0050;045,1
A,126,CLS21-0114;036,1
A,518,CLS21-0755;004,1
A,221,CLS21-0169;002,1
A,442,CLS21-0512;027,1
A,410,CLS21-0199;033,1
A,366,CLS21-0179;029,1
A,450,CLS21-0622;005,1
A,651,CLS21-0906;042,1
A,111,CLS21-0114;021,1
A,203,CLS21-0142;026,1
A,154,CLS21-0118;020,1
A,307,CLS21-0178;009,1
A,290,CLS21-0172;029,1
A,640,CLS21-0906;031,1
A,524,CLS21-0755;010,1
A,160,CLS21-0118;026,1
A,374,CLS21-0179;037,1
A,619,CLS21-0906;010,1
A,500,CLS21-0685;021,1
A,391,CLS21-0199;014,1
A,326,CLS21-0178;028,1
A,377,CLS21-0179;040,1
A,151,CLS21-0118;017,1
A,639,CLS21-0906;030,1
A,449,CLS21-0622;004,1
A,289,CLS21-0172;028,1
A,432,CLS21-0512;017,1
A,438,CLS21-0512;023,1
A,322,CLS21-0178;024,1
A,318,CLS21-0178;020,1
A,158,CLS21-0118;024,1
A,73,CLS21-0111;018,1
A,385,CLS21-0199;008,1
A,262,CLS21-0172;001,1
A,668,CLS21-0911;009,1
A,71,CLS21-0111;016,1
A,632,CLS21-0906;023,1
A,328,CLS21-0178;030,1
A,551,CLS21-0758;007,1
A,426,CLS21-0512;011,1
A,489,CLS21-0685;010,1
A,414,CLS21-0199;037,1
A,467,CLS21-0622;022,1
A,120,CLS21-0114;030,1
A,423,CLS21-0512;008,1
A,278,CLS21-0172;017,1
A,427,CLS21-0512;012,1
A,589,CLS21-0805;018,1
A,259,CLS21-0169;040,1
A,339,CLS21-0179;002,1
A,45,CLS21-0050;035,1
A,542,CLS21-0755;028,1
A,406,CLS21-0199;029,1
A,682,CLS21-0911;023,1
A,252,CLS21-0169;033,1
A,658,CLS21-0906;049,1
A,190,CLS21-0142;013,1
A,516,CLS21-0755;002,1
A,660,CLS21-0911;001,1
A,523,CLS21-0755;009,1
A,225,CLS21-0169;006,1
A,17,CLS21-0050;007,1
A,689,CLS21-0911;030,1
A,336,CLS21-0178;038,1
A,233,CLS21-0169;014,1
A,242,CLS21-0169;023,1
A,18,CLS21-0050;008,1
A,24,CLS21-0050;014,1
A,238,CLS21-0169;019,1
A,298,CLS21-0172;037,1
A,661,CLS21-0911;002,1
A,42,CLS21-0050;032,1
A,302,CLS21-0178;004,1
A,666,CLS21-0911;007,1
A,395,CLS21-0199;018,1
A,466,CLS21-0622;021,1
A,316,CLS21-0178;018,1
A,422,CLS21-0512;007,1
A,563,CLS21-0758;019,1
A,687,CLS21-0911;028,1
A,137,CLS21-0118;003,1
A,152,CLS21-0118;018,1
A,598,CLS21-0805;027,1
A,497,CLS21-0685;018,1
A,622,CLS21-0906;013,1
A,82,CLS21-0111;027,1
A,341,CLS21-0179;004,1
A,145,CLS21-0118;011,1
A,200,CLS21-0142;023,1
A,398,CLS21-0199;021,1
A,520,CLS21-0755;006,1
A,19,CLS21-0050;009,1
A,347,CLS21-0179;010,1
A,494,CLS21-0685;015,1
A,356,CLS21-0179;019,1
A,189,CLS21-0142;012,1
A,373,CLS21-0179;036,1
A,37,CLS21-0050;027,1
A,481,CLS21-0685;002,1
A,41,CLS21-0050;031,1
A,285,CLS21-0172;024,1
A,220,CLS21-0169;001,1
A,521,CLS21-0755;007,1
A,39,CLS21-0050;029,1
A,23,CLS21-0050;013,1
A,350,CLS21-0179;013,1
A,84,CLS21-0111;029,1
A,148,CLS21-0118;014,1
A,231,CLS21-0169;012,1
A,671,CLS21-0911;012,1
A,501,CLS21-0685;022,1
A,429,CLS21-0512;014,1
A,240,CLS21-0169;021,1
A,650,CLS21-0906;041,1
A,515,CLS21-0755;001,1
A,382,CLS21-0199;005,1
A,169,CLS21-0118;035,1
A,387,CLS21-0199;010,1
A,431,CLS21-0512;016,1
A,570,CLS21-0758;026,1
A,352,CLS21-0179;015,1
A,269,CLS21-0172;008,1
A,173,CLS21-0118;039,1
A,56,CLS21-0111;001,1
A,91,CLS21-0114;001,1
A,630,CLS21-0906;021,1
A,294,CLS21-0172;033,1
A,270,CLS21-0172;009,1
A,537,CLS21-0755;023,1
A,282,CLS21-0172;021,1
A,257,CLS21-0169;038,1
A,546,CLS21-0758;002,1
A,359,CLS21-0179;022,1
A,647,CLS21-0906;038,1
A,57,CLS21-0111;002,1
A,30,CLS21-0050;020,1
A,646,CLS21-0906;037,1
A,591,CLS21-0805;020,1
A,107,CLS21-0114;017,1
A,197,CLS21-0142;020,1
A,324,CLS21-0178;026,1
A,210,CLS21-0142;033,1
A,579,CLS21-0805;008,1
A,108,CLS21-0114;018,1
A,176,CLS21-0118;042,1
A,357,CLS21-0179;020,1
A,672,CLS21-0911;013,1
A,475,CLS21-0622;030,1
A,139,CLS21-0118;005,1
A,492,CLS21-0685;013,1
A,199,CLS21-0142;022,1
A,461,CLS21-0622;016,1
A,271,CLS21-0172;010,1
A,67,CLS21-0111;012,1
A,577,CLS21-0805;006,1
A,657,CLS21-0906;048,1
A,393,CLS21-0199;016,1
A,342,CLS21-0179;005,1
A,226,CLS21-0169;007,1
A,437,CLS21-0512;022,1
A,85,CLS21-0111;030,1
A,227,CLS21-0169;008,1
A,12,CLS21-0050;002,1
A,418,CLS21-0512;003,1
A,641,CLS21-0906;032,1
A,544,CLS21-0755;030,1
A,571,CLS21-0758;027,1
A,367,CLS21-0179;030,1
A,110,CLS21-0114;020,1
A,62,CLS21-0111;007,1
A,675,CLS21-0911;016,1
A,293,CLS21-0172;032,1
A,566,CLS21-0758;022,1
A,420,CLS21-0512;005,1
A,40,CLS21-0050;030,1
A,508,CLS21-0685;029,1
A,578,CLS21-0805;007,1
A,670,CLS21-0911;011,1
A,351,CLS21-0179;014,1
A,163,CLS21-0118;029,1
A,264,CLS21-0172;003,1
A,608,CLS21-0805;037,1
A,430,CLS21-0512;015,1
A,123,CLS21-0114;033,1
A,498,CLS21-0685;019,1
A,309,CLS21-0178;011,1
