ENTRY,NAME
542,CLS21-0755;028
406,CLS21-0199;029
682,CLS21-0911;023
252,CLS21-0169;033
658,CLS21-0906;049
190,CLS21-0142;013
516,CLS21-0755;002
660,CLS21-0911;001
523,CLS21-0755;009
225,CLS21-0169;006
17,CLS21-0050;007
689,CLS21-0911;030
336,CLS21-0178;038
233,CLS21-0169;014
242,CLS21-0169;023
18,CLS21-0050;008
24,CLS21-0050;014
238,CLS21-0169;019
298,CLS21-0172;037
661,CLS21-0911;002
42,CLS21-0050;032
302,CLS21-0178;004
666,CLS21-0911;007
395,CLS21-0199;018
466,CLS21-0622;021
316,CLS21-0178;018
422,CLS21-0512;007
563,CLS21-0758;019
687,CLS21-0911;028
137,CLS21-0118;003
152,CLS21-0118;018
598,CLS21-0805;027
497,CLS21-0685;018
622,CLS21-0906;013
82,CLS21-0111;027
341,CLS21-0179;004
145,CLS21-0118;011
200,CLS21-0142;023
398,CLS21-0199;021
520,CLS21-0755;006
19,CLS21-0050;009
347,CLS21-0179;010
494,CLS21-0685;015
356,CLS21-0179;019
189,CLS21-0142;012
373,CLS21-0179;036
37,CLS21-0050;027
481,CLS21-0685;002
41,CLS21-0050;031
285,CLS21-0172;024
220,CLS21-0169;001
521,CLS21-0755;007
39,CLS21-0050;029
23,CLS21-0050;013
350,CLS21-0179;013
84,CLS21-0111;029
148,CLS21-0118;014
231,CLS21-0169;012
671,CLS21-0911;012
501,CLS21-0685;022
429,CLS21-0512;014
240,CLS21-0169;021
650,CLS21-0906;041
515,CLS21-0755;001
382,CLS21-0199;005
169,CLS21-0118;035
387,CLS21-0199;010
431,CLS21-0512;016
570,CLS21-0758;026
352,CLS21-0179;015
269,CLS21-0172;008
173,CLS21-0118;039
56,CLS21-0111;001
91,CLS21-0114;001
630,CLS21-0906;021
294,CLS21-0172;033
270,CLS21-0172;009
537,CLS21-0755;023
282,CLS21-0172;021
257,CLS21-0169;038
546,CLS21-0758;002
359,CLS21-0179;022
647,CLS21-0906;038
57,CLS21-0111;002
30,CLS21-0050;020
646,CLS21-0906;037
591,CLS21-0805;020
107,CLS21-0114;017
197,CLS21-0142;020
324,CLS21-0178;026
210,CLS21-0142;033
579,CLS21-0805;008
108,CLS21-0114;018
176,CLS21-0118;042
357,CLS21-0179;020
672,CLS21-0911;013
475,CLS21-0622;030
139,CLS21-0118;005
492,CLS21-0685;013
199,CLS21-0142;022
461,CLS21-0622;016
271,CLS21-0172;010
67,CLS21-0111;012
577,CLS21-0805;006
657,CLS21-0906;048
393,CLS21-0199;016
342,CLS21-0179;005
226,CLS21-0169;007
437,CLS21-0512;022
85,CLS21-0111;030
227,CLS21-0169;008
12,CLS21-0050;002
418,CLS21-0512;003
641,CLS21-0906;032
544,CLS21-0755;030
571,CLS21-0758;027
367,CLS21-0179;030
110,CLS21-0114;020
62,CLS21-0111;007
675,CLS21-0911;016
293,CLS21-0172;032
566,CLS21-0758;022
420,CLS21-0512;005
40,CLS21-0050;030
508,CLS21-0685;029
578,CLS21-0805;007
670,CLS21-0911;011
351,CLS21-0179;014
163,CLS21-0118;029
264,CLS21-0172;003
608,CLS21-0805;037
430,CLS21-0512;015
123,CLS21-0114;033
498,CLS21-0685;019
309,CLS21-0178;011
267,CLS21-0172;006
371,CLS21-0179;034
204,CLS21-0142;027
649,CLS21-0906;040
380,CLS21-0199;003
172,CLS21-0118;038
555,CLS21-0758;011
596,CLS21-0805;025
239,CLS21-0169;020
50,CLS21-0050;040
312,CLS21-0178;014
162,CLS21-0118;028
349,CLS21-0179;012
105,CLS21-0114;015
32,CLS21-0050;022
134,CLS21-0114;044
554,CLS21-0758;010
444,CLS21-0512;029
609,CLS21-0805;038
72,CLS21-0111;017
296,CLS21-0172;035
667,CLS21-0911;008
557,CLS21-0758;013
284,CLS21-0172;023
471,CLS21-0622;026
256,CLS21-0169;037
590,CLS21-0805;019
543,CLS21-0755;029
184,CLS21-0142;007
629,CLS21-0906;020
434,CLS21-0512;019
404,CLS21-0199;027
283,CLS21-0172;022
147,CLS21-0118;013
556,CLS21-0758;012
22,CLS21-0050;012
659,CLS21-0906;050
529,CLS21-0755;015
468,CLS21-0622;023
607,CLS21-0805;036
653,CLS21-0906;044
588,CLS21-0805;017
402,CLS21-0199;025
424,CLS21-0512;009
27,CLS21-0050;017
175,CLS21-0118;041
144,CLS21-0118;010
526,CLS21-0755;012
348,CLS21-0179;011
266,CLS21-0172;005
214,CLS21-0142;037
484,CLS21-0685;005
219,CLS21-0142;042
254,CLS21-0169;035
669,CLS21-0911;010
212,CLS21-0142;035
507,CLS21-0685;028
568,CLS21-0758;024
201,CLS21-0142;024
488,CLS21-0685;009
234,CLS21-0169;015
392,CLS21-0199;015
567,CLS21-0758;023
464,CLS21-0622;019
473,CLS21-0622;028
248,CLS21-0169;029
394,CLS21-0199;017
52,CLS21-0050;042
166,CLS21-0118;032
358,CLS21-0179;021
538,CLS21-0755;024
611,CLS21-0906;002
310,CLS21-0178;012
244,CLS21-0169;025
665,CLS21-0911;006
419,CLS21-0512;004
553,CLS21-0758;009
560,CLS21-0758;016
241,CLS21-0169;022
299,CLS21-0178;001
332,CLS21-0178;034
645,CLS21-0906;036
626,CLS21-0906;017
26,CLS21-0050;016
112,CLS21-0114;022
561,CLS21-0758;017
51,CLS21-0050;041
28,CLS21-0050;018
83,CLS21-0111;028
288,CLS21-0172;027
49,CLS21-0050;039
141,CLS21-0118;007
77,CLS21-0111;022
548,CLS21-0758;004
217,CLS21-0142;040
631,CLS21-0906;022
185,CLS21-0142;008
301,CLS21-0178;003
48,CLS21-0050;038
613,CLS21-0906;004
564,CLS21-0758;020
258,CLS21-0169;039
187,CLS21-0142;010
480,CLS21-0685;001
482,CLS21-0685;003
549,CLS21-0758;005
102,CLS21-0114;012
375,CLS21-0179;038
136,CLS21-0118;002
245,CLS21-0169;026
170,CLS21-0118;036
517,CLS21-0755;003
652,CLS21-0906;043
436,CLS21-0512;021
540,CLS21-0755;026
397,CLS21-0199;020
594,CLS21-0805;023
279,CLS21-0172;018
599,CLS21-0805;028
353,CLS21-0179;016
300,CLS21-0178;002
95,CLS21-0114;005
330,CLS21-0178;032
303,CLS21-0178;005
389,CLS21-0199;012
177,CLS21-0118;043
346,CLS21-0179;009
21,CLS21-0050;011
66,CLS21-0111;011
409,CLS21-0199;032
315,CLS21-0178;017
378,CLS21-0199;001
183,CLS21-0142;006
295,CLS21-0172;034
355,CLS21-0179;018
614,CLS21-0906;005
116,CLS21-0114;026
255,CLS21-0169;036
362,CLS21-0179;025
104,CLS21-0114;014
260,CLS21-0169;041
677,CLS21-0911;018
417,CLS21-0512;002
368,CLS21-0179;031
674,CLS21-0911;015
157,CLS21-0118;023
150,CLS21-0118;016
323,CLS21-0178;025
662,CLS21-0911;003
320,CLS21-0178;022
408,CLS21-0199;031
623,CLS21-0906;014
390,CLS21-0199;013
479,CLS21-0622;034
261,CLS21-0169;042
216,CLS21-0142;039
459,CLS21-0622;014
208,CLS21-0142;031
601,CLS21-0805;030
505,CLS21-0685;026
569,CLS21-0758;025
165,CLS21-0118;031
655,CLS21-0906;046
132,CLS21-0114;042
585,CLS21-0805;014
275,CLS21-0172;014
644,CLS21-0906;035
547,CLS21-0758;003
441,CLS21-0512;026
68,CLS21-0111;013
490,CLS21-0685;011
678,CLS21-0911;019
600,CLS21-0805;029
455,CLS21-0622;010
407,CLS21-0199;030
60,CLS21-0111;005
250,CLS21-0169;031
379,CLS21-0199;002
101,CLS21-0114;011
580,CLS21-0805;009
96,CLS21-0114;006
615,CLS21-0906;006
235,CLS21-0169;016
691,CLS21-0911;032
593,CLS21-0805;022
229,CLS21-0169;010
292,CLS21-0172;031
335,CLS21-0178;037
15,CLS21-0050;005
251,CLS21-0169;032
319,CLS21-0178;021
317,CLS21-0178;019
253,CLS21-0169;034
97,CLS21-0114;007
581,CLS21-0805;010
